barcat -f'([.0-9]+)(?=,m)' t1320-earthquakes.in
time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-23T02:26:45.425Z,61.5284,-151.9693,6.8, 1.2,ml,,,,0.47,ak,ak019c7yauoq,2019-09-23T03:01:50.814Z,"100km NNW of Nikiski, Alaska",earthquake,,0.2,,,reviewed,ak,ak                                                                      
2019-09-23T02:19:06.250Z,36.1953333,-117.8968333,0.92,2.19,ml,25,59,0.0847,0.21,ci,ci38852647,2019-09-23T13:06:51.390Z,"14km SE of Olancha, CA",earthquake,0.37,0.7,0.122,26,reviewed,ci,ci                                                  
2019-09-23T02:12:09.160Z,33.3123333,-115.701,2.19,1.62,ml,41,71,0.1037,0.27,ci,ci38852631,2019-09-23T02:15:59.675Z,"5km SE of Bombay Beach, CA",earthquake,0.34,1.01,0.164,28,automatic,ci,ci                                                
2019-09-23T01:52:11.840Z,35.9448333,-117.376,2.46,1.83,ml,25,69,0.09247,0.19,ci,ci38852607,2019-09-23T13:06:55.170Z,"20km N of Searles Valley, CA",earthquake,0.33,0.75,0.155,25,reviewed,ci,ci                                              
2019-09-23T01:49:24.330Z,35.8506667,-117.6828333,5.66,1.43,ml,24,58,0.07881,0.18,ci,ci38852591,2019-09-23T13:06:59.310Z,"22km ESE of Little Lake, CA",earthquake,0.28,0.98,0.156,20,reviewed,ci,ci                                           
2019-09-23T01:41:13.157Z,64.9961,-148.753,10.7,   1,ml,,,,0.43,ak,ak019c7xskc3,2019-09-23T01:47:47.136Z,"38km WNW of Ester, Alaska",earthquake,,0.3,,,automatic,ak,ak                                                                        
2019-09-23T01:24:43.870Z,33.2501667,-116.315,8.89,0.96,ml,29,64,0.07682,0.26,ci,ci38852583,2019-09-23T01:28:26.293Z,"6km E of Borrego Springs, CA",earthquake,0.43,1.07,0.204,29,automatic,ci,ci                                             
2019-09-23T01:17:27.860Z,33.0613333,-117.6063333,20.97,1.35,ml,15,238,0.3297,0.19,ci,ci38852575,2019-09-23T01:20:57.305Z,"26km WSW of Carlsbad, CA",earthquake,1.61,3.64,0.179,19,automatic,ci,ci                                            
2019-09-23T01:14:15.050Z,38.8081665,-122.814003,1.8,2.08,md,43,50,0.01188,0.07,nc,nc73278045,2019-09-23T02:09:04.963Z,"6km NW of The Geysers, CA",earthquake,0.17,0.24,0.17,19,automatic,nc,nc                                               
2019-09-23T01:10:00.980Z,18.5435,-66.6968,81,2.76,md,13,211,0.205,0.21,pr,pr2019266003,2019-09-23T05:54:29.735Z,"8km NNE of Arecibo, Puerto Rico",earthquake,1.31,0.84,0.25,13,reviewed,pr,pr                                                
2019-09-23T01:02:24.940Z,35.945,-117.6723333,2.09,1.17,ml,14,92,0.01805,0.1,ci,ci38852551,2019-09-23T01:06:02.196Z,"21km E of Little Lake, CA",earthquake,0.25,0.24,0.092,15,automatic,ci,ci                                                 
